utterance,hedge,L_context1,L_context2,R_context1,function,ID
"it , she said he had n't registered . And I said well if , if you 're gon na do this sort of thing you keep your bloody gob shut . Do n't you ? Mm . Cos there 's all of us that know",sort,VDI,DD1,NN1,propositional,S0278_1994
"a lot of that he 's got to stop you know . Yeah , but you know what ? If they had some sort of party in there he 's gon na go over the top you know . Mm . And then she wants him to go",sort,VHD,DD,NN1,propositional,S0278_1994
"of doing it before , got this goal this sort of Disney World ideal you know erm , sort of make believe world who are we gon na be and we 're gon na be dreaming the dream , the dream",sort,FU,YCOM,VV0,pragmatic marker,S0278_1994
"she move in though ? She did n't ah , she did n't move in till after us , Aug in the August sort of thing , the summer that we moved in , a couple of years ago Mm , mm you see she did n't",sort,AT,NPM1,NN1,propositional,S0278_1994
"you 're having a heart attack or you just had one the last thing you want to hear is sort of the noise of the siren , the panicking noise of a siren . Nee na nee na nee na nee na nee",sort,VVI,VBZ,AT,pragmatic marker,S0278_1994
town where they have a lot of bars and restaurants where the skiers go yeah of an evening so should n't be a problem I 've never done sort of apres ski-type parties they look fun it 's just it 's just drinking beer is n't it ? yeah and eating fondue I do n't know does it involve,sort,RB,VVN,NNS,pragmatic marker,S0281_2014
"look well nice as well . The Mars Bars might be cheaper . Yeah oh I du n no but they re sort of too thick and gooey . Yeah . No I mean , I du n no . Oh do n't worry about it . Is that Pepsi",sort,PPHS2,VBR,RG,pragmatic marker,S0281_1994
there 's lots of people A do n't have a lot of money or live in apartments mm erm yeah I was I 'm just thinking about in central there s sort of areas of people with a lot of money who live in who live in flats mm and you would n't sort of erm you kn you know answer the door or ask,sort,EX,VBZ,NNS,pragmatic marker,S0286_2014
"one , that one is sweet . It 's so nice . You just dip in like that do you ? Yeah . Or sort of put it , wha however really . Or put bits on your plate and then just like put this",sort,YSTP,CC,VV0,pragmatic marker,S0286_1994
"went Angie I think we 've got a leak , and it was like all on the , all in my windowsill and sort of like came down and then , luckily , she said she only realized because of what I did",sort,NN1,CC,RR,pragmatic marker,S0286_1994
"and it was just a really good laugh and erm Right Said Fred were there and some other sort of ravey group , ca n't remember what now and then , no some techno group , and then erm so",sort,DD,JJ,NN1,propositional,S0286_1994
"talking about other people . I know , I mean er I mean yeah I 've got used to her sort of like criticizing everything and everyone in sight cos I mean that 's all she ever does is to",sort,II,PPHO1,II,pragmatic marker,S0299_1994
the second strongest medicine I 've ever had in my life probably mm you had some ? yeah I got a lot of colds to the end of last year sort of like the second half probably about one before July and then maybe about six or seven yeah after September but since then I have,sort,JJ,NN,IN,pragmatic marker,S0299_2014
"? no , they 're only for erm the prettiest girl in Clapton and he shook my hand and sort of giving it yeah , before he drags me behind the counter ! But he had all these nudy",sort,NN1,CC,VVG,pragmatic marker,S0299_1994
"enjoy it , I did enjoy it . It was a good film . Yeah , I mean there were bits It s the sort of film you can sit and watch a few times . Well I know I can . You know what I mean i , that",sort,VBZ,AT,NN1,propositional,S0303_1994
"that . Oh , leave her . I 've never really been , like , single single cos I m always sort of like , not actually going out with somebody but I 'm always , I 've always got",sort,VBM,RR,VV0,pragmatic marker,S0303_1994
"you know like an orchestra leader ? There is n't er , there is n't somebody who s sort of responsible for coordinating the choir , the choir leaders ? There 's a chairman . Bu , you",sort,PNQS,VBZ,JJ,pragmatic marker,S0303_1994
"were frittering away . Yeah . And we 'd go to the theatre or but I mean we do all that sort of thing still but we just have to cram it into the week . Yes yes . For you . Oh no , really .",sort,RR,DD1,NN1,propositional,S0307_1994
"downstairs , we had it all extended , so we could have a disabled bathroom and that sort of thing and , Right . instead of going use the garage . I ca n't see the point of having a",sort,CC,DD1,NN1,propositional,S0315_1994
"guys come up , and they were , they were really pissed off with me because , my mum sort of like , this guy just done this with th th the stall next door , but he left some",sort,APPGE,NN1,JJ,pragmatic marker,S0315_1994
"off He collapsed at Debbie 's on Wednesday night , well he fell , bumped his head sort of fall down so the doctor come yesterday , tt , and he had to stop in bed two or three",sort,APPGE,NN1,VV0,pragmatic marker,S0315_1994
"turn up when , at times , he does n't ring you to tell why he 's not turning up and that sort of person is not a good idea to go for No , this is true unless you produce contracts ,",sort,CC,DD1,NN1,propositional,S0315_1994
"s eyes with a Cos you do n't want wan na have a meal , sort of nicknacky that you can sort of nibble . Like Donna ! Sausage rolls and stuff like that sort of thing . Yeah . I do",sort,PPY,VM,VVI,pragmatic marker,S0320_1994
"for a dinner party or something . But , I was trying to think who knows ? If we can sort of get them out for a night or even if they get back at twelve . Yeah , what time do you",sort,PPIS2,VM,VVI,pragmatic marker,S0320_1994
attacking attack the oh I see yeah mm know what I mean ? crikey and er oh dear mm er I 'm halfway through this book and already it s sort of like ten years on and like gah you know mm half the people 've been killed yeah or half of the senior people have been killed and you,sort,PP,VBZ,IN,pragmatic marker,S0320_2014
up early I know but well I 'll text you before I go to sleep okay okay night night bye bye okay because I just bought a pack I bought the sort of what was all sealed together in the plastic mm mm which was three of them no it was an odd one and two of them but I think I 've got,sort,VVD,DT,WP,propositional,S0320_2014
eight environment or whatever well that 's what found with the younger engineers erm they did n't know any history of erm some sort of things like I ca n't really think of anything sensible here but er not the examples but there would be something or other and they 'd,sort,NN,DT,NNS,propositional,S0320_2014
with language and speech and it might be linguistics which seems to be in the bowels of the earth at university and there was this sort of little man who was like a little mole and he was one of these sort of characters unkempt with a sort of nylon shirt mm in this rather,sort,VBD,DT,JJ,propositional,S0320_2014
"centre to be honest ! Mind you , though You could , you could seat if you did , sort of classroom seating in there a , room this size in that , er , you could , you could probably seat",sort,VDD,YCOM,NN1,propositional,S0321_1994
of that so I do n't know it 's the right sort of era yeah analogue equipment yeah yeah well that 's that 's a good source and the right sort of thing as well yeah but yeah not quite not quite I mean I do n't think they 'll be playing but I mean h he I think I I spoke to somebody and,sort,DT,JJ,NN,propositional,S0322_2014
it it 's you know it 's sort of sad that you feel you have to have an excuse to go for a walk but mm having a dog just you 're not you re sort of bit of company and you 're not on your own and there 's kind of a purpose to it yeah you 're not just forces you out the door a bit more,sort,PP,VBP,NN,pragmatic marker,S0322_2014
good roast potatoes was always the one for roast potatoes cos she was little and mm she was li little and blonde mm and er you know sort of quite cute she was al my friend she was always the one who got er picked early on in the when we were in the first year to give present,sort,PP,VVP,RB,pragmatic marker,S0322_2014
erm edge of the sleeves and round mm er sleeve armholes mm and round the neck and it was square neck and the back and then it had a sort of A-line skirt not gathered or anything it was just an A-line as was per sixties mm and it was just a bit above the knee are you thinking of a,sort,VHD,DT,NN,propositional,S0322_2014
"before they go to stage of operating , surely , I mean , er do n't they look in into sort of psychological aspects of it , it 's usually a On the concept yep more than just physical reason I ,",sort,RP,II,JJ,propositional,S0323_1994
it yeah I mean there 's yesterday they said that the British probation service has been privatised right ? yeah and it s sort of like five different areas and the area we live in has been gonna be run by this company who I 've never heard of oxedo or Hoxon no no not,sort,PP,VBZ,IN,pragmatic marker,S0323_2014
calls much called I was in two cubicles down there and the phone was ringing er constantly and it was a stupid tune I was trying to sort of like stop it my swimming trunks were er in someone else 's cubicle who 'd gone in when I was sort of like trying to turn round did know,sort,VVG,TO,JJ,pragmatic marker,S0324_2014
on TV where they had found these Heinz erm Christmas puddings from Scott's Antarctic expedition ? and they ate them all those sort of forty fifty years I think no sixty years later so two thousand and eight it is not going to kill me yeah yeah yeah yeah yeah mm no I do n't,sort,PDT,DT,NN,propositional,S0324_2014
ve got a load of As and loads of Rs Gs and Hs ah I would put A A A no just put ah because no if you it 's like you 're pretending to scream that sort of that s what you call an over lexicalisation and the whole idea of the task is to pretend er look at the ways that people try and,sort,VV,DT,WDT,propositional,S0325_2014
pig yeah erm yeah lots of veggie options for us veggies erm actually I think we had two caterers the pig was one lot and then we had sort of buffet things as well mm got a local guy to do the disco which was hilarious yes dream job dream job oh my god he was all erm shit northern DJ,sort,PP,VHD,NN,pragmatic marker,S0325_2014
that do make like a plume of vapour they 're they look like they look like giant well they look like people walking around with like sort of miniature bongs yeah they 're like they do do n't they ? they 're the weirdest thing they they they er light up and bubble but I suppose they,sort,IN,IN,JJ,propositional,S0325_2014
for that for our half term week so they were upgraded to the top Royal Sun no less four stars no less four star and it 's like the sort of holid sort of holiday upmarket holiday package hotel like the really touristy one on the sea front oh nice looked absolutely,sort,IN,DT,JJ,propositional,S0326_2014
they 're run by the department ah yes for these the actual mocks are run by the school yes but still you do n't get it then these are sort of like assessments that you would do in year seven eight nine ten and everything it 's it 's all of that of that yeah ah type so you 're yes quite,sort,DT,VBP,JJ,pragmatic marker,S0326_2014
say it 'll ask you a question and there 's dotted lines two marks in brackets tells you how many marks it 's worth and it 's all that sort of Arial font and tables and things to answer about then this is the six mark question it 's a longer one and one that 's worth two m so most,sort,PDT,DT,JJ,propositional,S0326_2014
there 's loads on it cos like in your in in the er in your registry everything you do gets a little thing put in there yeah so it sort of checks it out before it does anything else that 's right yeah even if you do n't need it any more mm they 'll still check it out and,sort,IN,PP,NNS,pragmatic marker,S0326_2014
it was horrible the door so went and saw the concierge and she came back and she was it was those two they did it last week and they sort of sat there laughing at her did n't they ? oh it 's just horri oh some people in the world are just grim mm really grim well I 'm glad we did,sort,CC,PP,VVN,pragmatic marker,S0326_2014
I have a thirty-six everything drops oh mm it 's weird how it works though is n't it ? mm that 's why I always go to Bravissimo because they sort of do n't bother measuring you they just sort of look at you and go oh yeah that 's a they do look at you and then they do sometimes,sort,IN,PP,VVP,pragmatic marker,S0326_2014
not er er in fact he spent longer talking to and than what he did me what did you say ? what to him ? mm nothing oh we interacted when I sort of saw him away but he he did n't really s he did n't did n't register that I was actually a human being ? no not in the slightest what a,sort,WRB,PP,VVD,pragmatic marker,S0326_2014
make him a lot of money there are and he 's yeah there are there are some chief executives who you would follow you know over the trench sort of thing and that but I would n't follow our chief executive over a trench mm bless him he 's a bit erm you know what I mean monosyllabic,sort,DT,NN,NN,propositional,S0326_2014
odd year old woman bless her so this this couple a lady and her daughter mm kicked us out of our our seats mm me and mother you know no sort of oh bloody hell yeah and then a family this this lad they had a young kid and the kid just did n't wanna do it oh so was he got on the top of,sort,VV,DT,UH,propositional,S0326_2014
people this place the er the people were moaning there was no Bionaire stuff er it 's cos it 's people yeah do n't want like arty crafty sort of the this time of ye there 's a there there 's certain type of person who likes arty art like that and also they might they might buy,sort,JJ,JJ,DT,pragmatic marker,S0326_2014
would like to do the psychology and the become an occupational psychologist it 's just when I do it yeah so well it could be a sort of a thing to look forward to or no no but plan for work yeah exactly so I 've got like this year I want to do a year at obviously yeah and,sort,VB,DT,DT,propositional,S0326_2014
confident in myself like I have always just like not cared well I say that apart from a few hiccups along the way I 've always just sort of not cared and I 've been like this is who I am and no matter how much I diet and no matter how much I do sport my body just never changes so,sort,RB,RB,RB,pragmatic marker,S0326_2014
think we 're gonna go out tonight and get hammered but and what sorry ? I think that stuff like cos obviously you do n't go to the same sort of places that that,sort,DT,JJ,NNS,propositional,S0326_2014
are and they 're like oh no we really are like we 're and we were like yeah but you 're probably just drunk birds who get with each other sort of thing so it was like oh if you get with him we 'll get naked and start American Pie start fingering each other yeah well no kinda like,sort,DT,JJ,NN,propositional,S0326_2014
n't even know what to call him like a former family member owned a pub in Brighton the oh really ? oh okay bull I 'm sure it 's but my sort of cousin wants to move I guess we whatever you 'd call it my cousin's cousin erm he manages it ah or I called him the other day because I we,sort,RB,PPZ,NN,propositional,S0326_2014
drove through for once and I was asleep and then I woke up and my sister was really trying to do you know where we are ? I was sort of looking around and I was like no and my parents were like really ? do you do you want to look out that that window so I looked out and I just saw,sort,PP,VBD,VVG,pragmatic marker,S0326_2014
the east and then from the east I loop back round west again it 's really weird that 's going to Krakow but yeah for I suppose it s sort of the same mm did I tell you ? well I told you on Whatsapp whether I told you real life about my er accidental trip to again yeah you know,sort,PP,VBZ,DT,pragmatic marker,S0326_2014
yeah I 've been a bit disappointed I have n't seen so many so I looked on the website and it said that in winter er they tend to just sort of sit still they 're not flapping so much they 're not high in the air so much uhu uhu erm and you just sort of keep an eye out for them,sort,TO,RB,VVP,pragmatic marker,S0326_2014
good question but yeah so that could be literary and I mean like well the question is it could easily I think I mean I was like I sort of cos like I think it all sort of comes from like Epicureans and the Stoics arguing about things like how can you how can you know a,sort,IN,PP,NN,pragmatic marker,S0326_2014
next to her please can you close your legs you 're taking up my space ? wow er and you know it 's I think it 's brave erm yeah you know she sort of stood up for herself and sort of yeah you know women's right to their own space or to the armrest or to the space on the bus yeah it 's,sort,VVP,PP,VVN,pragmatic marker,S0326_2014
I do n't feel welcome either and somebody from Syria for example is n't yeah yeah erm and I 've felt like that since this new government was sort of brought in I just think oh I 'm not interested anymore so goodbye I think it was there before the new government it was there before,sort,NN,VBD,VVN,pragmatic marker,S0326_2014
they y you you 'd go round and look at em mm and say cor yeah or this that and yeah the other and yesterday in in that little street er sort of cul-de-sac which has got a footpath through to ' s right ? I was walking there and this this kid came down there on a scooter right ? and this,sort,NN,NN,NN,propositional,S0326_2014
then I was like I must n't have any more and then I was like mm I 'll just have a little bit and then about twenty minutes later I would sort of crawl to the living room and put Cbeebies on and then I 'd fall asleep on the floor for about half an hour yeah and then I 'd come to and,sort,PP,MD,NN,pragmatic marker,S0326_2014
worse than any other time yeah I guess so I suppose there 's sort of peaks of activity I just ca n't help but feel that there s a sort of a you know a world regime that 's geared towards economic outcomes with the environment and society being sacrificed and,sort,VBZ,DT,DT,propositional,S0326_2014
American army or by the or by the Taliban and you know this is it is the same woman from the series from the previous one who is the sort of journalist and she 's listening to recorded calls between the soldier and er another journalist who spoke to him at the time and they,sort,VBZ,DT,NN,propositional,S0326_2014
then validate I wonder would it be different if you bought a ticket from the driver if you bought it mm mm so you 've already had some sort of social engagement yeah I wonder what it 's like in London I do n't know in Central London if you get a bus whether you say yeah hello goodbye but,sort,VHN,DT,JJ,propositional,S0326_2014
the negatives in yeah this sort of job erm if you 're that kind of person erm so it 's an it 's an interesting one you know but this sort of and I was explaining how in this industry it 's you know it 's about the sense of community aha and in the summers when you 're,sort,CC,DT,CC,propositional,S0326_2014
volunteers that come for a week and go mm mm come for a fortnight and go mm mm mm mm so that can be pretty interesting too no it s nice sort of fleeting friendships yeah yeah and like you said before it 's cyclical it 's winter everything 's hibernating yeah or in the state of,sort,VBZ,JJ,JJ,pragmatic marker,S0326_2014
least they appear to no these girls man are so up on cosmetics and yeah everyone has their nails done everyone regar mm you know people sort of make comments about not having a lot of money or not being able to afford things but yeah all of them have their nails done,sort,VVP,NNS,VV,pragmatic marker,S0326_2014
to realise what they do n't want yeah so people then wake up to what they do want this is yeah that 's a good point you know on a sort of microcosm of all of that is where I 've been at this last two or three weeks since coming back since coming back from Christmas break is I,sort,IN,DT,NN,propositional,S0326_2014
to load then it 'll sort of Lakes O nine one yeah O two O three right yeah ah mm rather than just keeping the image number er like sort of DCMMIs and yeah DCYM or something mm yeah right yeah depending on how you do it yeah but er I ca n't get the only way I can get pictures on,sort,NNS,IN,NP,propositional,S0326_2014
a desk does n't really show dedication I think other things should no I do n't know it depends on the job I guess it seems to be a sort of an equation with a bit of victimhood and martyrdom erm in what way ? seem to equate with hard work or you know oh I 'm so tired oh I 'm,sort,VB,DT,DT,propositional,S0326_2014
they 're mental ca n't bear it fall over and break a leg me mother I know I ca n't I 'm such a sort of what 's the word ? neurotic about this sort of stuff er okay say bye mm bye bye hello oh god anyway yes right so nice to see you nice to see you er is there anything behind me ? there,sort,IN,DT,NN,propositional,S0326_2014
colour for them is n't it ? cos we 've got one sort of like exactly the same yeah well they got have you ? the yellow oh right and and sort of like very light purply ones there it might be there might be some like that I do n't like them anyway but you see you you could dig that,sort,CC,CC,IN,pragmatic marker,S0326_2014
sorry bye mm maybe yeah mm yeah to my mind this is a situation where selfishness is vitally important and I suppose there is some sort of circumstances or situations where it might be a kindness to the other person or I do n't know compassionate thing to have the conversation,sort,VBZ,DT,NNS,propositional,S0326_2014
I do n't think it even began but you know I 'm sort of at a is ending or has ended ? has ended is ending is ending erm you know I m a sort of fair weather person it is like oh I do n't know what to do so I will call this person it was like oh I do n't know what to do so I will call this,sort,VBP,DT,JJ,propositional,S0326_2014
this city ? more or less mm yeah within an hour or two bus drive yeah and then you know you can get more and more specific into what you sort of want or like or mm anyway I need to go to the toilet do you mind pausing the ? can you do a pause on this ? otherwise you can sit and talk,sort,WP,PP,VVP,pragmatic marker,S0326_2014
I will ponder it a bit longer but I think I probably will yeah yeah we 'll see I just think if it is not broke do n't fix it well it is sort of is for me living in Poland because I do like my applicator tampons and I ca n't be doing with the non-applicator ones I mean,sort,PP,VBZ,VBZ,pragmatic marker,S0326_2014
re doing it yeah I know but not for a decade or two I know and it 's like why ? yeah like what 's the point ? I know I 'd rather be I d rather sort of anticipate having a disappointing future if what I 'm doing at the moment is is making me happy yeah yeah I dunno I do n't know I think I 've,sort,MD,RB,VV,pragmatic marker,S0326_2014
abroad whatever but they do n't mind anybody just wandering into the warehouse or to the factory oh just take things and just sort of pointing at what you want and then you can have a bit of whatever they happen to be chopping up and you wo n't get fresher because it 's,sort,CC,RB,VVG,pragmatic marker,S0326_2014
few shops you know ? the butcher the baker the candlestick maker all around in a square and that 's it mm mm and otherwise it s just sort of a thoroughfare for other places yeah and is quite similar to that and then for the you branch off and go another I do n't know ten fifteen,sort,VBZ,RB,DT,pragmatic marker,S0326_2014
and there was a guy on the opposite platform got out of a bus no out sorry out of a train threw his guts up repeatedly erm and then was sort of waiting for the next train and obviously looked at it and thought oh better not carried on throwing up for a while and then eventually,sort,RB,VBD,VVG,pragmatic marker,S0326_2014
in a little bathtub I sound like erm that person in Mickey Mouse erm who ? Goofy ? yeah I sound like Goofy in Mickey Mouse it s sort of like y  all doodle pip he does n't say that or like yo Mickey how are we gonna get across that bridge ? can you stop making me laugh,sort,PP,VBZ,IN,pragmatic marker,S0326_2014
friends last year erm but I was fine with being on my own it was just it was hard but I really and we 've talked about this before I sort of really appreciated the time alone yeah and I still do and I really need and crave time alone yeah and as much as I need and crave time with other,sort,IN,PP,RB,pragmatic marker,S0326_2014
friend mm er she 's funny erm he 's oh really quite a kind of complex character his name is mm we 've known each other since we were sort of fifteen and he used he lived really round the corner so we used to go round and you know smoke and drink in his back yard and that and mm,sort,PP,VBD,CD,pragmatic marker,S0326_2014
sometimes that 's cute I 've just seen the dolphin picture really ? yeah ' s good for like people who like exploring cos you can just sort of drive round in the car and like turn up in weird places you 've never been to before mm yeah yeah like me and my sister did that once this,sort,MD,RB,NN,pragmatic marker,S0326_2014
like rollers that like make the wheels go round what you just sit there ? you just sit there there 's not even a screen even you just sort of like sit on the motorbike and do n't go anywhere it 's like a motorbike on treadmill basically it 's pretty shit I went to on Friday,sort,PP,RB,IN,pragmatic marker,S0326_2014
Sunday afternoon I was like oh of course oh so it is yeah yeah watch Silent Witness tomorrow mm but that 's the only time when you sort of lose erm and I suppose if you go on holiday if you go abroad you lose days of the week yeah and especially over Christmas yeah no idea,sort,WRB,PP,VV,pragmatic marker,S0326_2014
kinda cos I think erm I I even I even I can sort of remember just sort of looking at photos and books of other places you know that were sort of like exciting and when you 're a child it 's like imagine yes but now it 's sort of that 's would be totally unr sort of unrewarding,sort,WDT,VBD,IN,pragmatic marker,S0326_2014
I dunno it might have like they they might it 's might live there well there are wild kestrels yeah oh you get them in cities you get sort of ea eagles and stuff that live in New York and mm yes on the bridges in in most towns have some kestrels yeah in Edinburgh there 's,sort,PP,VVP,NN,pragmatic marker,S0326_2014
had erm they had a really good band that they 'd seen busking somewhere and found out the name of them and got them up and they d sort of come on the train these four lads and they were really really good er and then sh my cousin surprised her husband her new husband,sort,PP,MD,VVN,pragmatic marker,S0326_2014
know the and they 're sort of yeah they 're not bitter not bi no or it 's like it 's not a question of you 're on holiday where they re sort of everyone s no s starving that 's true mm I mean mm one thing story is that when oh yeah when we went last year we sort of took a wrong turn,sort,PP,VBP,NN,pragmatic marker,S0326_2014
know they 've only just stopped killing each other yeah fairly recently well for the most part so I do n't know so yeah at first I sort of really resented this rule but mm it 's useful depending on the er group that you 're with yeah that 's true and I think you know if you 're,sort,JJ,NN,RB,pragmatic marker,S0326_2014
on the doorstep oh wow and now they 're getting to the stage where they 're they just ca n't stop cos mm they do n't know what the sort of repercussions will be are will there be repercussions if they stop ? erm oh so they 're giving through fear rather than through love yeah now,sort,WP,DT,NNS,propositional,S0326_2014
energy to do the lifting yeah erm whereas my previous trainer was just like no you 're n not eating enough you need to eat at least another sort of packet of rice on top of that mm and I was like explode so I do n't know well I suppose there 's carbs and there 's carbs yeah but he 's I 'd,sort,JJS,DT,NN,propositional,S0326_2014
him was because the tyrant was just sort of trying to get off with the with the younger one with the younger one but then there were sort of f f erm er sort of held up as erm sort of end ending tyranny and bringing democracy to Athens so it was sort of gift gi given er,sort,EX,VBD,NN,pragmatic marker,S0326_2014
so when she got to the cashier she was like oh I 've just forgotten some milk can you go and get me the milk ? er er you know er just to sort of make it sort of less awkward for her I suppose erm yeah but yeah that was er it just that would n't I just ca n't imagine that ever,sort,RB,TO,VV,pragmatic marker,S0326_2014
dude gets pregnant it 's like Eerie Indiana and it 's a bit like Roald Dahl a little bit erm kind of but not really but like in that IN really sort of family like ,sort,that,RB,NN,propositional,S0326_2014
existence of er sort of er these companies set like they just sort of build out of nowhere whole s towns but all they are is sort of factory and then places where people can sleep and then go back to work and people just sort of c come from the countryside and live,sort,VBP,VBZ,NN,pragmatic marker,S0326_2014
in school and just sort of shoving it in my bag looking at the mark shoving it in my bag not really looking at the feedback mm so I sort of think a lot of them are like that as well not all of them but some of them mm and I know the ones who are n't gonna give a shit what it,sort,IN,PP,VV,pragmatic marker,S0328_2014
know the business is run much more professionally yeah but you know during that era all these businesses were run by sort of were sort of family businesses and they were sort of you know just run into the ground were n't they ? yeah yeah and like the people who owned them used to,sort,IN,VBD,NN,pragmatic marker,S0328_2014
s what they said and that 's why er in England and Germany it 's not so much of a problem because there 's a huge disparity between this sort of these benefits and wages yeah whereas here it 's so similar that you can just swap one for the other yeah wow yeah so they said it 's so,sort,IN,DT,DT,propositional,S0328_2014
ferry do Rotterdam to where 's it go ? Harwich I think where 's that ? to where ? Harwich where 's Harwich ? east east of England sort of Felixstowe Ipswich mm kay uhu Suffolk sort of area we 've gotta be further north than that north of London mm mm erm yeah mm yeah so that 's,sort,IN,NP,NP,propositional,S0328_2014
off because I was doing everything right I was like describe right well I was eating right drinking right going to the gym being like sort of really positive mm and like we talked about this loads I was like in a really good frame of mind and I 'm just so annoyed that I feel like I 've,sort,VBG,IN,RB,pragmatic marker,S0328_2014
a big hug with him and he went home and told his wife that I was over so she came in and had a big hug oh nice erm and yeah people were just sort of wandering in bringing alcohol with them it was kind of nice really and then from number five I think sh she wandered in oh oh you 're back,sort,VBD,RB,VVG,pragmatic marker,S0328_2014
it 's it 's cool there basically and I knew about this thing from reading which is a really secret thing it 's called the erm it s sort of like the four hour walk up the mountain u up mount it 's a huge sort of cave like cliff face and it 's where erm because if you if you,sort,PP,VBZ,IN,pragmatic marker,S0328_2014
any sort of talking therapy is wonderful mm mm erm yeah these days I tend to talk to myself it seems to do the trick well I ve tried sort of asking a question and then kind of mind mapping it on a piece of paper with arrows and why why why why why why ? mm to try and sort of,sort,VHP,VVN,VVG,pragmatic marker,S0328_2014
kind of mind mapping it on a piece of paper with arrows and why why why why why why ? mm to try and sort of find a conclusion and I just sort of write all of this stuff and do n't find a conclusion yeah maybe there is no conclusion maybe the process is the healing yeah yeah,sort,PP,RB,VV,pragmatic marker,S0328_2014
I feel like I 've heard of it yeah it was on BBC over Christmas is it the one with ? oh god sort of your woman who was in Spooks ? yeah the sort of plain looking woman with brown hair and er dead Nicola thingy yeah and the gorgeous eyes either she 's dead or he 's dead she 's dead she 's,sort,RB,DT,JJ,propositional,S0331_2014
and this one 's good for when you get to the stripes okay cos it 's a V so it cuts nice oh did you cut yourself ? what did I say I just sort of like spiked myself yeah well oops same thing oh we have to start organizing that erm Christmas fair stuff oh yeah and I really do n't,sort,PP,RB,IN,pragmatic marker,S0331_2014
my two of my closest friends say we separately were economic Tories what ? they 're like we 're left no but but I do n't agree with the sort of welfare side of things oh my god it 's like what are you talking about ? erm it 's I do n't know yeah so and as I 've sa I think I 've said before,sort,IN,DT,NN,propositional,S0331_2014
about ? erm it 's I do n't know yeah so and as I 've sa I think I 've said before I mean we 've talked about this before you know you sort of lose touch with or you just presume everyone thinks the same as you because you surround yourselves with people who think the same,sort,VVP,PP,VV,pragmatic marker,S0331_2014
just feel so protective all the time if she ever left the house I 'd be worrying like what would happen to her er and you know well I sort of said but you know it 's not her responsibility to learn how to sort of er protect herself it should be sort of the responsibility of,sort,RB,PP,VVN,pragmatic marker,S0338_2014
cos I 'm not living you know it 's not a family home or I 'm not living here for years but I would n't be happy with like that level of sort of finish would you ? no no if this was like a you know long term home like for example if I I guess they 're maybe they 're like this is their,sort,NN,IN,NN,propositional,S0338_2014
her friends and she knows that she 's pretty and de de de and sort of for the first half of it you do n't really like her and you re not sort of very sympathetic towards her erm and she 's always going out and getting drunk er and sleeping around and then she 's er at a party and she 's,sort,VBP,RB,RB,pragmatic marker,S0339_2014
so I have to do my best and if I do n't and then my friend erm who was also applying we were both applying for our job yeah and erm she sort of like spent about half the time I did erm maybe even less yeah erm and what happened was that I came so that time that other woman got the,sort,VV,PP,IN,pragmatic marker,S0341_2014
so sweet and so nice and I just bullied him and I was like right you get a point every time you look at your partner and he was like doing sort of the quickest movements so he did n't have to look at the person sat next to him ah and I was like yeah they just need more social skills and,sort,IN,VVG,DT,pragmatic marker,S0349_2014
if you 're doing something would you say oh I 'm really not very good at this like as a preface like you know before you do it would you sort of give this disclaimer ? some people do yeah I tend not to hang around with people like that cos it just seems to me like a little bit of a,sort,MD,PP,VV,pragmatic marker,S0350_2014
types of intelligence these eight or nine different intelligence blah blah blah some of them are like well I think I I 've got this sort of scientific intelligence because da da da or I 've got personal intelligence because I 'm empathetic mm hm and he was like out of these ones I think I,sort,VVN,DT,JJ,propositional,S0354_2014
me of my crash in you know in that evening yeah oh my goodness erm and so uncle then helped him sort of pull it off of the road into sort of like a layby area with a hedge and everything right erm and then this other guy went and this lady went erm and they 're they 're,sort,NN,IN,IN,pragmatic marker,S0355_2014
uhu uhu like tattoos and cars to talk to him about mechanics and things like that so you know he was up for that but with her she just sort of wanted to sit and pout and put her cleavage on show which I just did n't really get mm hm no I did n't have either of them sadly I did have,sort,PP,RB,VVN,pragmatic marker,S0355_2014
of what attracted to me to that place is they 've got a picture they 've got a power place in their garden which presumably is some sort of lay lines type place but they 've sort of drawn out this grid in the land and sort of planted it into the landscaping mm hm er just,sort,VBZ,DT,JJ,propositional,S0361_2014
place in their garden which presumably is some sort of lay lines type place but they 've sort of drawn out this grid in the land and sort of planted it into the landscaping mm hm er just looks really cool yeah I think a lot of places I mean yes I do believe in earth energies,sort,NN,CC,VVN,pragmatic marker,S0364_2014
they did n't they had to make the case and I think the case has now been won that yeah more bats do die but er you just have live with this sort of thing erm yeah you can make a cage no no a case not a cage could make you could make cage yeah I 'm thinking but I think you 'd have to know,sort,IN,DT,NN,propositional,S0366_2014
a you know a berry yoghurt or whatever it 's called ? er yeah thanks mum that was really nice today thank you it was kind of in a sort of sausage and mash kind of way nice was n't it ? mm so well we 'll do then well obviously as well but I think actually you 'll probably come,sort,IN,DT,NN,propositional,S0367_2014
to being averse to going to Russia shut up who has to shut up ? why ? being pedantic pedantic no he was n't no shall I try and construct some sort of a what we would do in Italy thing ? okay yes cool see what we could what we cos I guess when you s when we say Italy what do you just,sort,VV,DT,DT,propositional,S0369_2014
houses are nice but they 're all like it 's pretty poor mm they 're not all the big posh houses mm that you get in they re all sort of quite yeah erm and yeah it 's that 's what it 's called god I 've got such a bad memory I 'm not gonna know where er nothing is when I go,sort,VBP,DT,RB,propositional,S0369_2014
